Κωδικός,Ονομασία,Ποσό 1,Ποσό 2,Ποσό 3
1110803001,"Φόροι στα μικτά κέρδη τυχερών παιγνίων",801.000.000,,
1110804,"Φόροι στα εισιτήρια των καζίνο",2.000.000,,
1110804001,"Φόροι στα εισιτήρια των καζίνο",2.000.000,,
1110810,"Τέλη Eurocontrol",33.000.000,,
1110810001,"Τέλη Eurocontrol",33.000.000,,
1110811,"Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων",48.000.000,,
1110811001,"Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων",48.000.000,,
1110813,"Τέλος ΑμεΑ στα αεροπορικά εισιτήρια",1.000.000,,
1110813001,"Τέλος ΑμεΑ στα αεροπορικά εισιτήρια",1.000.000,,
1110815,"Τέλος πλοίων αναψυχής και ημερόπλοιων",12.000.000,,
1110815001,"Τέλος πλοίων αναψυχής και ημερόπλοιων",12.000.000,,
1110820,"Φόρος ασφαλίστρων",448.000.000,,
1110820001,"Φόρος ασφαλίστρων",448.000.000,,
1110821,"Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση",22.000.000,,
1110821001,"Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση",22.000.000,,
1110822,"Τέλη συνδρομητών σταθερής τηλεφωνίας",76.000.000,,
1110822001,"Τέλη συνδρομητών σταθερής τηλεφωνίας",76.000.000,,
1110823,"Τέλη συνδρομητών κινητής τηλεφωνίας",218.000.000,,
1110823001,"Τέλη συνδρομητών κινητής τηλεφωνίας",218.000.000,,
1110824,"Τέλος στη συνδρομητική Τηλεόραση",26.000.000,,
1110824001,"Τέλος στη συνδρομητική Τηλεόραση",26.000.000,,
1110825,"Φόρος στη Διαμονή",141.000.000,,
1110825001,"Φόρος στη Διαμονή",141.000.000,,
1110889,"Λοιποί ειδικοί φόροι σε υπηρεσίες",1.000.000,,
1110889001,"Λοιποί ειδικοί φόροι σε υπηρεσίες",1.000.000,,
11109,"Λοιποί Φόροι επί αγαθών",73.000.000,,
1110901,"Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας",3.000.000,,
1110901001,"Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας",3.000.000,,
1110902,"Ειδικοί Φόροι στη διακίνηση καυσίμων",55.000.000,,
1110902001,"Ειδικοί Φόροι στη διακίνηση καυσίμων",55.000.000,,
1110903,"Περιβαλλοντικό τέλος πλαστικής σακούλας",15.000.000,,
1110903001,"Περιβαλλοντικό τέλος πλαστικής σακούλας",15.000.000,,
112,"Φόροι και δασμοί επί εισαγωγών",322.000.000,,
11201,"Δασμοί",322.000.000,,
1120101,"Δασμοί κοινού δασμολογίου",315.000.000,,
1120101001,"Δασμοί κοινού δασμολογίου",315.000.000,,
1120102,"Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί",7.000.000,,
1120102001,"Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί",7.000.000,,
113,"Τακτικοί φόροι ακίνητης περιουσίας",2.757.000.000,,
11301,"Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας",2.757.000.000,,
1130101,"Φόρος στην ακίνητη περιουσία (ΦΑΠ)",19.000.000,,
1130101001,"Φόρος στην ακίνητη περιουσία (ΦΑΠ)",19.000.000,,
1130102,"Ενιαίο τέλος ακινήτων",1.000.000,,
1130102001,"Ενιαίο τέλος ακινήτων",1.000.000,,
1130103,"Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ)",31.000.000,,
1130103001,"Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ)",31.000.000,,
1130104,"Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)",2.705.000.000,,
1130104001,"Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)",2.705.000.000,,
1130189,"Λοιποί φόροι στην ακίνητη περιουσία",1.000.000,,
1130189001,"Λοιποί φόροι στην ακίνητη περιουσία",1.000.000,,
114,"Λοιποί φόροι επί παραγωγής",1.123.000.000,,
11401,"Επιχειρηματικές και επαγγελματικές άδειες",591.000.000,,
1140101,"Τέλος επιτηδεύματος",482.000.000,,
1140101001,"Τέλος επιτηδεύματος",482.000.000,,
1140102,"Άδειες παροχής υπηρεσιών τυχερών παιγνίων",75.000.000,,
1140102001,"Άδειες παροχής υπηρεσιών τυχερών παιγνίων",75.000.000,,
1140103,"Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων",17.000.000,,
1140103001,"Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων",17.000.000,,
1140104,"Έσοδα από εκδόσεις πολεοδομικών αδειών",3.000.000,,
1140104001,"Έσοδα από εκδόσεις πολεοδομικών αδειών",3.000.000,,
1140105,"Ειδικό τέλος για άδειες λειτουργίας καζίνο",3.000.000,,
1140105001,"Ειδικό τέλος για άδειες λειτουργίας καζίνο",3.000.000,,
1140106,"Τέλη χορήγησης αδειών από τις λιμενικές αρχές",3.000.000,,
1140106001,"Τέλη χορήγησης αδειών από τις λιμενικές αρχές",3.000.000,,
1140189,"Λοιπές Επιχειρηματικές και επαγγελματικές άδειες",8.000.000,,
1140189001,"Λοιπές Επιχειρηματικές και επαγγελματικές άδειες",8.000.000,,
11409,"Διάφοροι άλλοι φόροι επί παραγωγής",532.000.000,,
1140902,"Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)",12.000.000,,
1140902001,"Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)",12.000.000,,
1140903,"Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων",4.000.000,,
1140903001,"Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων",4.000.000,,
1140904,"Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.",1.000.000,,
1140904001,"Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.",1.000.000,,
1140907,"Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.",1.000.000,,
1140907001,"Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.",1.000.000,,
1140908,"Κράτηση στις συμβάσεις της Επιτροπής Προμηθειών Υγείας",26.000.000,,
1140908001,"Κράτηση στις συμβάσεις της Επιτροπής Προμηθειών Υγείας",26.000.000,,
1140910,"Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών",25.000.000,,
1140910001,"Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών",25.000.000,,
1140911,"Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της Ελλάδος",428.000.000,,
1140911001,"Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της Ελλάδος",428.000.000,,
1140912,"Αμοιβή χορήγησης δικαιωμάτων και προνομίων στο Διεθνή Αερολιμένα Αθηνών",30.000.000,,
1140912001,"Αμοιβή χορήγησης δικαιωμάτων και προνομίων στο Διεθνή Αερολιμένα Αθηνών",30.000.000,,
1140989,"Λοιπoί φόροι επί της παραγωγής",5.000.000,,
1140989001,"Λοιπoί φόροι επί της παραγωγής",5.000.000,,
115,"Φόρος εισοδήματος",15.018.000.000,,
11501,"Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ)",10.650.000.000,,
1150101,"Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων",1.981.000.000,,
1150101001,"Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων",1.981.000.000,,
1150102,"Φόρος στο εισόδημα ΦΠ - προκαταβολή",486.000.000,,
1150102001,"Φόρος στο εισόδημα ΦΠ - προκαταβολή",486.000.000,,
1150103,"Φόρος στο εισόδημα από μισθούς - παρακράτηση",4.239.000.000,,
1150103001,"Φόρος στο εισόδημα από μισθούς - παρακράτηση",4.239.000.000,,
1150104,"Φόρος στο εισόδημα από συντάξεις - παρακράτηση",1.726.000.000,,
1150104001,"Φόρος στο εισόδημα από συντάξεις - παρακράτηση",1.726.000.000,,
1150105,"Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση",786.000.000,,
1150105001,"Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση",786.000.000,,
1150106,"Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας",267.000.000,,
1150106001,"Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας",267.000.000,,
1150107,"Ειδική εισφορά αλληλεγγύης στα ΦΠ",1.163.000.000,,
1150107001,"Ειδική εισφορά αλληλεγγύης στα ΦΠ",1.163.000.000,,
1150108,"Φόρος στο εισόδημα από μερίσματα και κέρδη αλλοδαπών εταιρειών",1.000.000,,
1150108001,"Φόρος στο εισόδημα από μερίσματα και κέρδη αλλοδαπών εταιρειών",1.000.000,,
1150189,"Λοιποί φόροι στο εισόδημα ΦΠ",1.000.000,,
1150189001,"Λοιποί φόροι στο εισόδημα ΦΠ",1.000.000,,
11502,"Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ)",3.178.000.000,,
1150201,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",528.000.000,,
1150201001,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",528.000.000,,
1150202,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή",2.026.000.000,,
1150202001,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή",2.026.000.000,,
1150203,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων",175.000.000,,
1150203001,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων",175.000.000,,
1150204,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή",329.000.000,,
1150204001,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή",329.000.000,,
1150205,"Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών",110.000.000,,
1150205001,"Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών",110.000.000,,
1150206,"Εφάπαξ φόροι εισοδήματος ΝΠ",1.000.000,,
1150206001,"Εφάπαξ φόροι εισοδήματος ΝΠ",1.000.000,,
1150289,"Λοιποί φόροι στο εισόδημα εταιριών",9.000.000,,
1150289001,"Λοιποί φόροι στο εισόδημα εταιριών",9.000.000,,
11503,"Φόροι επί κερδών διακράτησης",28.000.000,,
1150302,"Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων",28.000.000,,
1150302001,"Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων",28.000.000,,
11504,"Φόροι επί κερδών από λαχεία και τυχερά παίγνια",155.000.000,,
1150489,"Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια",155.000.000,,
1150489001,"Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια",155.000.000,,
11505,"Φόρος εισοδήματος κατοίκων αλλοδαπής",52.000.000,,
1150501,"Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα",51.000.000,,
1150501001,"Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα",51.000.000,,
1150502,"Φόρος εισοδήματος αλλοδαπής από τόκους",1.000.000,,
1150502001,"Φόρος εισοδήματος αλλοδαπής από τόκους",1.000.000,,
11506,"Φόρος εισοδήματος ειδικών κατηγοριών",955.000.000,,
1150601,"Φόρος πλοίων",154.000.000,,
1150601001,"Φόρος πλοίων",154.000.000,,
1150602,"Φόρος επί των τόκων των καταθέσεων  συμφωνιών επαναγοράς  ομολόγων κ.λπ.",358.000.000,,
1150602001,"Φόρος επί των τόκων των καταθέσεων  συμφωνιών επαναγοράς  ομολόγων κ.λπ.",358.000.000,,
1150603,"Φόρος επί των τόκων από αποταμιεύσεις κατοίκων Ελλάδος στο εξωτερικό",1.000.000,,
1150603001,"Φόρος επί των τόκων από αποταμιεύσεις κατοίκων Ελλάδος στο εξωτερικό",1.000.000,,
1150604,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",15.000.000,,
1150604001,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",15.000.000,,
1150605,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - προκαταβολή",106.000.000,,
1150605001,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - προκαταβολή",106.000.000,,
1150689,"Λοιποί φόροι εισοδήματος ειδικών κατηγοριών",321.000.000,,
1150689001,"Λοιποί φόροι εισοδήματος ειδικών κατηγοριών",321.000.000,,
116,"Φόροι κεφαλαίου",265.000.000,,
11601,"Φόροι κληρονομιών  γονικών παροχών και δωρεών",265.000.000,,
1160101,"Φόροι και τέλη κληρονομιών",200.000.000,,
1160101001,"Φόροι και τέλη κληρονομιών",200.000.000,,
1160102,"Φόροι και τέλη δωρεών  γονικών και λοιπών παροχών",65.000.000,,
