Κωδικός,Ονομασία,Ποσό 1,Ποσό 2,Ποσό 3
1020,"Υπουργείο Παιδείας  Θρησκευμάτων και Αθλητισμού",5.594.000.000,1.012.000.000,6.606.000.000
1022,"Υπουργείο Πολιτισμού",257.419.000,318.000.000,575.419.000
1024,"Υπουργείο Εθνικής Οικονομίας και Οικονομικών",1.243.381.464.000,3.137.000.000,1.246.518.464.000
1029,"Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων",222.403.000,1.059.000.000,1.281.403.000
1031,"Υπουργείο Περιβάλλοντος και Ενέργειας",319.227.000,2.022.000.000,2.341.227.000
1032,"Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης",18.215.084.000,463.000.000,18.678.084.000
1034,"Υπουργείο Κοινωνικής Συνοχής και Οικογένειας",3.786.553.000,203.000.000,3.989.553.000
1036,"Υπουργείο Ανάπτυξης",123.045.000,695.000.000,818.045.000
1039,"Υπουργείο Υποδομών και Μεταφορών",881.810.000,1.813.000.000,2.694.810.000
1041,"Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης",336.864.000,315.000.000,651.864.000
1045,"Υπουργείο Τουρισμού",39.293.000,150.000.000,189.293.000
1053,"Υπουργείο Ψηφιακής Διακυβέρνησης",151.928.000,922.000.000,1.073.928.000
1055,"Υπουργείο Μετανάστευσης και Ασύλου",141.871.000,334.000.000,475.871.000
1057,"Υπουργείο Προστασίας του Πολίτη",2.217.820.000,68.000.000,2.285.820.000
1060,"Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας",760.116.000,461.000.000,1.221.116.000
,"Αποκεντρωμένες Διοικήσεις",79.592.000,0,79.592.000
1901,"Αποκεντρωμένη Διοίκηση Αττικής",13.091.000,0,13.091.000
14.918.000,"0",14.918.000,,
1905,"Αποκεντρωμένη Διοίκηση Αιγαίου",6.188.000,0,6.188.000
1906,"Αποκεντρωμένη Διοίκηση Κρήτης",6.497.000,0,6.497.000
1907,"Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης",18.376.000,0,18.376.000
11,"Φόροι",62.055.000.000,,
12,"Κοινωνικές εισφορές",60.000.000,,
13,"Μεταβιβάσεις",8.131.000.000,,
14,"Πωλήσεις αγαθών και υπηρεσιών",2.405.000.000,,
15,"Λοιπά τρέχοντα έσοδα",2.775.000.000,,
31,"Πάγια περιουσιακά στοιχεία",37.000.000,,
43,"Χρεωστικοί τίτλοι",11.000.000,,
44,"Δάνεια",20.000.000,,
45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων",467.000.000,,
52,"Υποχρεώσεις από νόμισμα και καταθέσεις",66.000.000,,
53,"Χρεωστικοί τίτλοι (Υποχρεώσεις)",25.973.000.000,,
54,"Δάνεια",1.202.027.000.000,,
57,"Χρηματοοικονομικά παράγωγα 800.000.000 Σύνολο:",1.304.827.000.000,,
11,"Φόροι",62.055.000.000,,
111,"Φόροι επί αγαθών και υπηρεσιών",33.667.000.000,,
11101,"Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ",14.635.000.000,,
1110103,"ΦΠΑ από ηλεκτρονικό εμπόριο",250.000.000,,
1110103001,"ΦΠΑ μη ενωσιακού καθεστώτος από ηλεκτρονικό εμπόριο για την Ελλάδα ως κ-μ κατανάλωσης",39.000.000,,
1110103002,"ΦΠΑ ενωσιακού καθεστώτος από ηλεκτρονικό εμπόριο για την Ελλάδα ως κ-μ κατανάλωσης",211.000.000,,
1110189,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.",14.385.000.000,,
1110189001,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.",14.385.000.000,,
11102,"Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία",7.853.000.000,,
1110201001,"ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών - προϊόντα εγχώρια και από Ε.Ε.",2.230.000.000,,
1110201002,"ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών - εισαγόμενα προϊόντα",32.000.000,,
1110202,"ΦΠΑ στα οχήματα",583.000.000,,
1110202001,"ΦΠΑ στα οχήματα",583.000.000,,
1110203,"ΦΠΑ στην αιθυλική αλκοόλη",342.000.000,,
1110203001,"ΦΠΑ στην αιθυλική αλκοόλη",342.000.000,,
1110204,"ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο",12.000.000,,
1110204001,"ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο",12.000.000,,
1110205,"ΦΠΑ καπνικών προϊόντων",630.000.000,,
1110205001,"ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.",607.000.000,,
1110205002,"ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες",23.000.000,,
1110206,"ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο",85.000.000,,
1110206001,"ΦΠΑ εισαγωγής από το ειδικό καθεστώς εισαγωγής – IOSS",81.000.000,,
1110206002,"ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements",4.000.000,,
1110289,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων",3.939.000.000,,
1110289001,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων - προϊόντα εγχώρια και από Ε.Ε.",398.000.000,,
1110289002,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων - εισαγόμενα προϊόντα",3.541.000.000,,
11103,"Ειδικοί φόροι κατανάλωσης",7.172.000.000,,
1110301,"ΕΦΚ υγραερίων",95.000.000,,
1110301001,"ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.",92.000.000,,
1110301002,"ΕΦΚ υγραερίων - εισαγόμενα προϊόντα",3.000.000,,
1110302,"ΕΦΚ βενζινών",2.066.000.000,,
1110302001,"ΕΦΚ βενζινών - προϊόντα εγχώρια και από Ε.Ε.",2.066.000.000,,
1110303,"ΕΦΚ diesel κίνησης",1.449.000.000,,
1110303001,"ΕΦΚ diesel κίνησης - προϊόντα εγχώρια και από Ε.Ε.",1.244.000.000,,
1110303002,"ΕΦΚ diesel κίνησης - εισαγόμενα προϊόντα",205.000.000,,
1110304,"ΕΦΚ diesel θέρμανσης",253.000.000,,
1110304001,"ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.",193.000.000,,
1110304002,"ΕΦΚ diesel θέρμανσης - εισαγόμενα προϊόντα",60.000.000,,
1110305,"ΕΦΚ στην ηλεκτρική ενέργεια",164.000.000,,
1110305001,"ΕΦΚ στην ηλεκτρική ενέργεια",164.000.000,,
1110306,"ΕΦΚ στο φυσικό αέριο",34.000.000,,
1110306001,"ΕΦΚ στο φυσικό αέριο",34.000.000,,
1110309,"ΕΦΚ λοιπών ενεργειακών προϊόντων",38.000.000,,
1110309001,"ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.",35.000.000,,
1110309002,"ΕΦΚ λοιπών ενεργειακών προϊόντων - εισαγόμενα από τρίτες χώρες",3.000.000,,
1110310,"ΕΦΚ στα προϊόντα καπνού",2.334.000.000,,
1110310001,"ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.",2.308.000.000,,
1110310002,"ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες",26.000.000,,
1110311,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων",353.000.000,,
1110311001,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - προϊόντα εγχώρια και από Ε.Ε.",351.000.000,,
1110311002,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - εισαγόμενα προϊόντα",2.000.000,,
1110312,"ΕΦΚ στη μπύρα",207.000.000,,
1110312001,"ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.",207.000.000,,
1110313,"ΕΦΚ στο κρασί",1.000.000,,
1110313001,"ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.",1.000.000,,
1110314,"Φόρος κατανάλωσης στον καφέ",147.000.000,,
1110314001,"Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.",95.000.000,,
1110314002,"Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα",52.000.000,,
1110315,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο",10.000.000,,
1110315001,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο - προϊόντα εγχώρια και από Ε.Ε.",7.000.000,,
1110315002,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο - εισαγόμενα προϊόντα",3.000.000,,
1110317,"Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία",11.000.000,,
1110317001,"Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία",11.000.000,,
1110318,"Ειδικός φόρος πολυτελείας εμπορευμάτων",10.000.000,,
1110318001,"Ειδικός φόρος πολυτελείας εμπορευμάτων - χωρών της Ε.Ε. και εγχωρίως παραγόμενων ειδών",6.000.000,,
1110318002,"Ειδικός φόρος πολυτελείας εμπορευμάτων -εισαγομένων από τρίτες χώρες",4.000.000,,
11104,"Φόροι με μορφή χαρτοσήμου",335.000.000,,
1110404,"Ψηφιακό τέλος συναλλαγής",335.000.000,,
1110404001,"Ψηφιακό τέλος συναλλαγής",335.000.000,,
11105,"Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",670.000.000,,
1110501,"Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων",110.000.000,,
1110501001,"Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων",110.000.000,,
1110502,"Φόρος στη μεταβίβαση οικοδομών",488.000.000,,
1110502001,"Φόρος στη μεταβίβαση οικοδομών",488.000.000,,
1110503,"Φόρος στη συγκέντρωση κεφαλαίων",19.000.000,,
1110503001,"Φόρος στη συγκέντρωση κεφαλαίων",19.000.000,,
1110507,"Φόρος επί των χρηματιστηριακών συναλλαγών",38.000.000,,
1110507001,"Φόρος επί των χρηματιστηριακών συναλλαγών",38.000.000,,
1110589,"Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",15.000.000,,
1110589001,"Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",15.000.000,,
11106,"Φόροι ταξινόμησης οχημάτων",466.000.000,,
1110601,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα",389.000.000,,
1110601001,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εγχώρια και από Ε.Ε.",312.000.000,,
1110601002,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εισαγόμενα από τρίτες χώρες",77.000.000,,
1110602,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα",46.000.000,,
1110602001,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.",31.000.000,,
1110602002,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εισαγόμενα από τρίτες χώρες",15.000.000,,
1110609,"Τέλος ταξινόμησης λοιπών οχημάτων",18.000.000,,
1110609001,"Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.",11.000.000,,
1110609002,"Τέλος ταξινόμησης λοιπών οχημάτων - εισαγόμενα από τρίτες χώρες",7.000.000,,
1110610,"Έκτακτο περιβαλλοντικό τέλος οχημάτων",13.000.000,,
1110610001,"Έκτακτο περιβαλλοντικό τέλος οχημάτων",13.000.000,,
11108,"Λοιποί φόροι επί συγκεκριμένων υπηρεσιών",2.318.000.000,,
1110801,"Φόροι στα κρατικά λαχεία",5.000.000,,
1110801001,"Φόροι στα κρατικά λαχεία",5.000.000,,
1110802,"Φόροι στα μικτά κέρδη των καζίνο",54.000.000,,
1110802001,"Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας",12.000.000,,
1110802002,"Φόροι στα μικτά κέρδη των λοιπών καζίνο",42.000.000,,
1110803,"Φόροι στα μικτά κέρδη τυχερών παιγνίων",695.000.000,,
1110803001,"Φόροι στα μικτά κέρδη τυχερών παιγνίων",695.000.000,,
1110810,"Τέλη Eurocontrol",72.000.000,,
1110810001,"Τέλη Eurocontrol",72.000.000,,
1110811,"Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων",5.000.000,,
1110811001,"Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων",5.000.000,,
1110813,"Τέλος ΑμεΑ στα αεροπορικά εισιτήρια",2.000.000,,
1110813001,"Τέλος ΑμεΑ στα αεροπορικά εισιτήρια",2.000.000,,
1110815,"Τέλος Πλοίων Αναψυχής και Ημερόπλοιων και Επαγγελματικών Πλοίων Αναψυχής σύμφωνα με το Δίκαιο Άλλης Χώρας",14.000.000,,
1110815001,"Τέλος Πλοίων Αναψυχής και Ημερόπλοιων (ΤΕ.Π.Α.Η)",12.000.000,,
1110815002,"Τέλος Επαγγελματικού Πλοίου Αναψυχής σύμφωνα με το Δίκαιο Άλλης Χώρας (Τ.Ε.Π.Α.Δ.Α.Χ.)",2.000.000,,
1110820,"Φόρος ασφαλίστρων",586.000.000,,
1110820001,"Φόρος ασφαλίστρων",586.000.000,,
1110821,"Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση",14.000.000,,
1110821001,"Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση",14.000.000,,
1110822,"Τέλη συνδρομητών σταθερής τηλεφωνίας",52.000.000,,
1110822001,"Τέλη συνδρομητών σταθερής τηλεφωνίας",52.000.000,,
1110823,"Τέλη συνδρομητών κινητής τηλεφωνίας",160.000.000,,
1110823001,"Τέλη συνδρομητών κινητής τηλεφωνίας",160.000.000,,
1110824,"Τέλος στη συνδρομητική Τηλεόραση",23.000.000,,
1110824001,"Τέλος στη συνδρομητική Τηλεόραση",23.000.000,,
1110825,"Τέλος ανθεκτικότητας στην κλιματική κρίση (πρώην Φόρος στη Διαμονή)",582.000.000,,
1110825001,"Τέλος ανθεκτικότητας στην κλιματική κρίση (πρώην Φόρος στη Διαμονή)",582.000.000,,
1110827,"Τέλος κρουαζιέρας",52.000.000,,
1110827001,"Τέλος κρουαζιέρας",52.000.000,,
1110889,"Λοιποί ειδικοί φόροι σε υπηρεσίες",2.000.000,,
1110889001,"Λοιποί ειδικοί φόροι σε υπηρεσίες",2.000.000,,
11109,"Λοιποί Φόροι επί αγαθών",218.000.000,,
1110901,"Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας",3.000.000,,
1110901001,"Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας",3.000.000,,
1110902,"Ειδικοί Φόροι στη διακίνηση καυσίμων",76.000.000,,
1110902001,"Ειδικοί Φόροι στη διακίνηση καυσίμων",76.000.000,,
1110903,"Περιβαλλοντικά τέλη και εισφορές",29.000.000,,
1110903001,"Περιβαλλοντικό τέλος πλαστικής σακούλας",13.000.000,,
1110903002,"Εισφορά προστασίας του περιβάλλοντος για τα πλαστικά προϊόντα",16.000.000,,
1110904,"Πράσινο τέλος στο diesel κίνησης",110.000.000,,
1110904001,"Πράσινο τέλος στο diesel κίνησης",110.000.000,,
112,"Φόροι και δασμοί επί εισαγωγών",362.000.000,,
11201,"Δασμοί",362.000.000,,
1120101,"Δασμοί κοινού δασμολογίου",338.000.000,,
1120101001,"Δασμοί κοινού δασμολογίου",338.000.000,,
1120102,"Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί",24.000.000,,
1120102001,"Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί",24.000.000,,
113,"Τακτικοί φόροι ακίνητης περιουσίας",2.353.000.000,,
11301,"Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας",2.353.000.000,,
1130101,"Φόρος στην ακίνητη περιουσία (ΦΑΠ)",2.000.000,,
1130101001,"Φόρος στην ακίνητη περιουσία (ΦΑΠ)",2.000.000,,
1130102,"Ενιαίο τέλος ακινήτων",1.000.000,,
1130102001,"Ενιαίο τέλος ακινήτων",1.000.000,,
1130103,"Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ)",7.000.000,,
1130103001,"Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ)",7.000.000,,
1130104,"Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)",2.342.000.000,,
1130104001,"Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)",2.342.000.000,,
1130189,"Λοιποί φόροι στην ακίνητη περιουσία",1.000.000,,
1130189001,"Λοιποί φόροι στην ακίνητη περιουσία",1.000.000,,
114,"Λοιποί φόροι επί παραγωγής",355.000.000,,
11401,"Επιχειρηματικές και επαγγελματικές άδειες",306.000.000,,
1140101,"Τέλος επιτηδεύματος",233.000.000,,
1140101001,"Τέλος επιτηδεύματος",233.000.000,,
1140102,"Άδειες παροχής υπηρεσιών τυχερών παιγνίων",5.000.000,,
1140102001,"Άδειες παροχής υπηρεσιών τυχερών παιγνίων",5.000.000,,
1140103,"Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων",22.000.000,,
1140103001,"Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων",22.000.000,,
1140104,"Έσοδα από εκδόσεις πολεοδομικών αδειών",7.000.000,,
1140104001,"Έσοδα από εκδόσεις πολεοδομικών αδειών",7.000.000,,
1140105,"Ειδικό τέλος για άδειες λειτουργίας καζίνο",2.000.000,,
1140105001,"Ειδικό τέλος για άδειες λειτουργίας καζίνο",2.000.000,,
1140106,"Τέλη χορήγησης αδειών από τις λιμενικές αρχές",2.000.000,,
1140106001,"Τέλη χορήγησης αδειών από τις λιμενικές αρχές",2.000.000,,
1140108,"Τέλη μηχανημάτων έργων",12.000.000,,
1140108001,"Τέλη μηχανημάτων έργων",12.000.000,,
1140189,"Λοιπές Επιχειρηματικές και επαγγελματικές άδειες",23.000.000,,
1140189001,"Λοιπές Επιχειρηματικές και επαγγελματικές άδειες",23.000.000,,
11409,"Διάφοροι άλλοι φόροι επί παραγωγής",49.000.000,,
1140902,"Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)",17.000.000,,
1140902001,"Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)",17.000.000,,
1140903,"Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων",5.000.000,,
1140903001,"Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων",5.000.000,,
1140904,"Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.",1.000.000,,
1140904001,"Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.",1.000.000,,
1140907,"Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.",1.000.000,,
1140907001,"Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.",1.000.000,,
1140910,"Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών",21.000.000,,
1140910001,"Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών",21.000.000,,
1140989,"Λοιπoί φόροι επί της παραγωγής",4.000.000,,
1140989001,"Λοιπoί φόροι επί της παραγωγής",4.000.000,,
115,"Φόρος εισοδήματος",23.719.000.000,,
11501,"Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ)",14.511.000.000,,
1150101,"Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων",3.716.000.000,,
1150101001,"Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων",3.716.000.000,,
1150102,"Φόρος στο εισόδημα ΦΠ - προκαταβολή",523.000.000,,
1150102001,"Φόρος στο εισόδημα ΦΠ - προκαταβολή",523.000.000,,
1150103,"Φόρος στο εισόδημα από μισθούς - παρακράτηση",6.313.000.000,,
1150103001,"Φόρος στο εισόδημα από μισθούς - παρακράτηση",6.313.000.000,,
1150104,"Φόρος στο εισόδημα από συντάξεις - παρακράτηση",2.400.000.000,,
1150104001,"Φόρος στο εισόδημα από συντάξεις - παρακράτηση",2.400.000.000,,
1150105,"Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση",1.265.000.000,,
1150105001,"Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση",1.265.000.000,,
1150106,"Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας",279.000.000,,
1150106001,"Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας",279.000.000,,
1150110,"Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει στην αλλοδαπή ΦΠ που μεταφέρουν τη φορολογική τους κατοικία στην Ελλάδα",14.000.000,,
1150110001,"Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει στην αλλοδαπή ΦΠ που μεταφέρουν τη φορολογική τους κατοικία στην Ελλάδα για επενδυτική δραστηριότητα",11.000.000,,
1150110002,"Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει στην αλλοδαπή ΦΠ δικαιούχων εισοδήματος από συντάξεις αλλοδαπής που μεταφέρουν τη φορολογική τους κατοικία στην Ελλάδα",3.000.000,,
1150189,"Λοιποί φόροι στο εισόδημα ΦΠ",1.000.000,,
1150189001,"Λοιποί φόροι στο εισόδημα ΦΠ",1.000.000,,
11502,"Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ)",7.244.000.000,,
1150201,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",2.033.000.000,,
1150201001,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",2.033.000.000,,
1150202,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή",3.269.000.000,,
1150202001,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή",3.269.000.000,,
1150203,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων",500.000.000,,
1150203001,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων",500.000.000,,
1150204,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή",608.000.000,,
1150204001,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή",608.000.000,,
1150205,"Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών",346.000.000,,
1150205001,"Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών",346.000.000,,
1150206,"Εφάπαξ φόροι εισοδήματος ΝΠ",1.000.000,,
1150206001,"Εφάπαξ φόροι εισοδήματος ΝΠ",1.000.000,,
1150289,"Λοιποί φόροι στο εισόδημα εταιριών",487.000.000,,
1150289001,"Λοιποί φόροι στο εισόδημα εταιριών",9.000.000,,
1150289002,"Προσωρινή Συνεισφορά Αλληλεγγύης (Π.Σ.Α) σύμφωνα με το άρθρο 14 του Κανονισμού (ΕΕ) 2022/1854",478.000.000,,
11503,"Φόροι επί κερδών διακράτησης",18.000.000,,
1150301,"Φόρος στο εισόδημα από υπεραξία μεταβίβασης ακινήτων",1.000.000,,
1150301001,"Φόρος στο εισόδημα από υπεραξία μεταβίβασης ακινήτων",1.000.000,,
1150302,"Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων",17.000.000,,
1150302001,"Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων",17.000.000,,
11504,"Φόροι επί κερδών από λαχεία και τυχερά παίγνια",272.000.000,,
1150489,"Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια",272.000.000,,
1150489001,"Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια",272.000.000,,
11505,"Φόρος εισοδήματος κατοίκων αλλοδαπής",92.000.000,,
1150501,"Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα",91.000.000,,
1150501001,"Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα",91.000.000,,
1150502,"Φόρος εισοδήματος αλλοδαπής από τόκους",1.000.000,,
1150502001,"Φόρος εισοδήματος αλλοδαπής από τόκους",1.000.000,,
11506,"Φόρος εισοδήματος ειδικών κατηγοριών",1.582.000.000,,
