Κωδικός,Ονομασία,Ποσό 1,Ποσό 2,Ποσό 3
1110102001,"ΦΠΑ στις νέες οικοδομές",3.000.000,,
1110189,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.",10.212.000.000,,
1110189001,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.",10.212.000.000,,
11102,"Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία",5.986.000.000,,
1110201,"ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών",1.963.000.000,,
1110201002,"ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών - εισαγόμενα προϊόντα",18.000.000,,
1110202,"ΦΠΑ στα οχήματα",374.000.000,,
1110202001,"ΦΠΑ στα οχήματα",374.000.000,,
1110203,"ΦΠΑ στην αιθυλική αλκοόλη",249.000.000,,
1110203001,"ΦΠΑ στην αιθυλική αλκοόλη",249.000.000,,
1110204,"ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο",13.000.000,,
1110204001,"ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο",13.000.000,,
1110205,"ΦΠΑ καπνικών προϊόντων",663.000.000,,
1110205001,"ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.",654.000.000,,
1110205002,"ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες",9.000.000,,
1110206,"ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο",1.000.000,,
1110206002,"ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements",1.000.000,,
1110289,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων",2.723.000.000,,
1110289001,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων - προϊόντα εγχώρια και από Ε.Ε.",244.000.000,,
1110289002,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων - εισαγόμενα προϊόντα",2.479.000.000,,
11103,"Ειδικοί φόροι κατανάλωσης",7.015.000.000,,
1110301,"ΕΦΚ υγραερίων",106.000.000,,
1110301001,"ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.",104.000.000,,
1110301002,"ΕΦΚ υγραερίων - εισαγόμενα προϊόντα",2.000.000,,
1110302,"ΕΦΚ βενζινών",2.137.000.000,,
1110302001,"ΕΦΚ βενζινών - προϊόντα εγχώρια και από Ε.Ε.",2.137.000.000,,
1110303,"ΕΦΚ diesel κίνησης",1.381.000.000,,
1110303001,"ΕΦΚ diesel κίνησης - προϊόντα εγχώρια και από Ε.Ε.",1.175.000.000,,
1110303002,"ΕΦΚ diesel κίνησης - εισαγόμενα προϊόντα",206.000.000,,
1110304,"ΕΦΚ diesel θέρμανσης",359.000.000,,
1110304001,"ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.",281.000.000,,
1110304002,"ΕΦΚ diesel θέρμανσης - εισαγόμενα προϊόντα",78.000.000,,
1110305,"ΕΦΚ στην ηλεκτρική ενέργεια",166.000.000,,
1110305001,"ΕΦΚ στην ηλεκτρική ενέργεια",166.000.000,,
1110306,"ΕΦΚ στο φυσικό αέριο",34.000.000,,
1110306001,"ΕΦΚ στο φυσικό αέριο",34.000.000,,
1110309,"ΕΦΚ λοιπών ενεργειακών προϊόντων",42.000.000,,
1110309001,"ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.",25.000.000,,
1110309002,"ΕΦΚ λοιπών ενεργειακών προϊόντων - εισαγόμενα από τρίτες χώρες",17.000.000,,
1110310,"ΕΦΚ στα προϊόντα καπνού",2.142.000.000,,
1110310001,"ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.",2.132.000.000,,
1110310002,"ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες",10.000.000,,
1110311,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων",291.000.000,,
1110311001,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - προϊόντα εγχώρια και από Ε.Ε.",289.000.000,,
1110311002,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - εισαγόμενα προϊόντα",2.000.000,,
1110312,"ΕΦΚ στη μπύρα",197.000.000,,
1110312001,"ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.",197.000.000,,
1110313,"ΕΦΚ στο κρασί",1.000.000,,
1110313001,"ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.",1.000.000,,
1110314,"Φόρος κατανάλωσης στον καφέ",140.000.000,,
1110314001,"Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.",89.000.000,,
1110314002,"Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα",51.000.000,,
1110315,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο",4.000.000,,
1110315001,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο - προϊόντα εγχώρια και από Ε.Ε.",4.000.000,,
1110317,"Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία",10.000.000,,
1110317001,"Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία",10.000.000,,
1110318,"Ειδικός φόρος πολυτελείας εμπορευμάτων",5.000.000,,
1110318001,"Ειδικός φόρος πολυτελείας εμπορευμάτων - χωρών της Ε.Ε. και εγχωρίως παραγόμενων ειδών",3.000.000,,
1110318002,"Ειδικός φόρος πολυτελείας εμπορευμάτων -εισαγομένων από τρίτες χώρες",2.000.000,,
11104,"Φόροι με μορφή χαρτοσήμου",262.000.000,,
1110401,"Τέλη χαρτοσήμου σε μισθώματα από ακίνητα",127.000.000,,
1110401001,"Τέλη χαρτοσήμου σε μισθώματα από ακίνητα",127.000.000,,
1110402,"Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις",1.000.000,,
1110402001,"Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις",1.000.000,,
1110403,"Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου",33.000.000,,
1110403001,"Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου",33.000.000,,
1110489,"Λοιπά τέλη χαρτοσήμου",101.000.000,,
1110489001,"Λοιπά τέλη χαρτοσήμου",101.000.000,,
11105,"Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",460.000.000,,
1110501,"Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων",78.000.000,,
1110501001,"Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων",78.000.000,,
1110502,"Φόρος στη μεταβίβαση οικοδομών",274.000.000,,
1110502001,"Φόρος στη μεταβίβαση οικοδομών",274.000.000,,
1110503,"Φόρος στη συγκέντρωση κεφαλαίων",36.000.000,,
1110503001,"Φόρος στη συγκέντρωση κεφαλαίων",36.000.000,,
1110507,"Φόρος επί των χρηματιστηριακών συναλλαγών",42.000.000,,
1110507001,"Φόρος επί των χρηματιστηριακών συναλλαγών",42.000.000,,
1110589,"Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",30.000.000,,
1110589001,"Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",30.000.000,,
11106,"Φόροι ταξινόμησης οχημάτων",292.498.000,,
1110601,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα",239.498.000,,
1110601001,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εγχώρια και από Ε.Ε.",212.498.000,,
1110601002,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εισαγόμενα από τρίτες χώρες",27.000.000,,
1110602,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα",39.000.000,,
1110602001,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.",28.000.000,,
1110602002,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εισαγόμενα από τρίτες χώρες",11.000.000,,
1110609,"Τέλος ταξινόμησης λοιπών οχημάτων",11.000.000,,
1110609001,"Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.",8.000.000,,
1110609002,"Τέλος ταξινόμησης λοιπών οχημάτων - εισαγόμενα από τρίτες χώρες",3.000.000,,
1110610,"Έκτακτο περιβαλλοντικό τέλος οχημάτων",3.000.000,,
1110610001,"Έκτακτο περιβαλλοντικό τέλος οχημάτων",3.000.000,,
11108,"Λοιποί φόροι επί συγκεκριμένων υπηρεσιών",1.406.000.000,,
1110801,"Φόροι στα κρατικά λαχεία",5.000.000,,
1110801001,"Φόροι στα κρατικά λαχεία",5.000.000,,
1110802,"Φόροι στα μικτά κέρδη των καζίνο",45.000.000,,
1110802001,"Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας",10.000.000,,
1110802002,"Φόροι στα μικτά κέρδη των λοιπών καζίνο",35.000.000,,
1110803,"Φόροι στα μικτά κέρδη τυχερών παιγνίων",380.000.000,,
1110803001,"Φόροι στα μικτά κέρδη τυχερών παιγνίων",380.000.000,,
1110810,"Τέλη Eurocontrol",66.000.000,,
1110810001,"Τέλη Eurocontrol",66.000.000,,
1110811,"Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων",38.000.000,,
1110811001,"Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων",38.000.000,,
1110813,"Τέλος ΑμεΑ στα αεροπορικά εισιτήρια",1.000.000,,
1110813001,"Τέλος ΑμεΑ στα αεροπορικά εισιτήρια",1.000.000,,
1110815,"Τέλος πλοίων αναψυχής και ημερόπλοιων",9.000.000,,
1110815001,"Τέλος πλοίων αναψυχής και ημερόπλοιων",9.000.000,,
1110820,"Φόρος ασφαλίστρων",485.000.000,,
1110820001,"Φόρος ασφαλίστρων",485.000.000,,
1110821,"Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση",13.000.000,,
1110821001,"Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση",13.000.000,,
1110822,"Τέλη συνδρομητών σταθερής τηλεφωνίας",74.000.000,,
1110822001,"Τέλη συνδρομητών σταθερής τηλεφωνίας",74.000.000,,
1110823,"Τέλη συνδρομητών κινητής τηλεφωνίας",146.000.000,,
1110823001,"Τέλη συνδρομητών κινητής τηλεφωνίας",146.000.000,,
1110824,"Τέλος στη συνδρομητική Τηλεόραση",10.000.000,,
1110824001,"Τέλος στη συνδρομητική Τηλεόραση",10.000.000,,
1110825,"Φόρος στη Διαμονή",134.000.000,,
1110825001,"Φόρος στη Διαμονή",134.000.000,,
11109,"Λοιποί Φόροι επί αγαθών",163.000.000,,
1110901,"Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας",5.000.000,,
1110901001,"Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας",5.000.000,,
1110902,"Ειδικοί Φόροι στη διακίνηση καυσίμων",44.000.000,,
1110902001,"Ειδικοί Φόροι στη διακίνηση καυσίμων",44.000.000,,
1110903,"Περιβαλλοντικά τέλη και εισφορές",11.000.000,,
1110903001,"Περιβαλλοντικό τέλος πλαστικής σακούλας",11.000.000,,
1110904,"Πράσινο τέλος στο diesel κίνησης",103.000.000,,
1110904001,"Πράσινο τέλος στο diesel κίνησης",103.000.000,,
112,"Φόροι και δασμοί επί εισαγωγών",297.000.000,,
11201,"Δασμοί",297.000.000,,
1120101,"Δασμοί κοινού δασμολογίου",289.000.000,,
1120101001,"Δασμοί κοινού δασμολογίου",289.000.000,,
1120102,"Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί",8.000.000,,
1120102001,"Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί",8.000.000,,
113,"Τακτικοί φόροι ακίνητης περιουσίας",2.597.000.000,,
11301,"Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας",2.597.000.000,,
1130101,"Φόρος στην ακίνητη περιουσία (ΦΑΠ)",4.000.000,,
1130101001,"Φόρος στην ακίνητη περιουσία (ΦΑΠ)",4.000.000,,
1130102,"Ενιαίο τέλος ακινήτων",1.000.000,,
1130102001,"Ενιαίο τέλος ακινήτων",1.000.000,,
1130103,"Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ)",14.000.000,,
1130103001,"Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ)",14.000.000,,
1130104,"Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)",2.577.000.000,,
1130104001,"Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)",2.577.000.000,,
1130189,"Λοιποί φόροι στην ακίνητη περιουσία",1.000.000,,
1130189001,"Λοιποί φόροι στην ακίνητη περιουσία",1.000.000,,
114,"Λοιποί φόροι επί παραγωγής",942.000.000,,
11401,"Επιχειρηματικές και επαγγελματικές άδειες",505.000.000,,
1140101,"Τέλος επιτηδεύματος",449.000.000,,
1140101001,"Τέλος επιτηδεύματος",449.000.000,,
1140102,"Άδειες παροχής υπηρεσιών τυχερών παιγνίων",17.000.000,,
1140102001,"Άδειες παροχής υπηρεσιών τυχερών παιγνίων",17.000.000,,
1140103,"Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων",17.000.000,,
1140103001,"Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων",17.000.000,,
1140104,"Έσοδα από εκδόσεις πολεοδομικών αδειών",4.000.000,,
1140104001,"Έσοδα από εκδόσεις πολεοδομικών αδειών",4.000.000,,
1140105,"Ειδικό τέλος για άδειες λειτουργίας καζίνο",1.000.000,,
1140105001,"Ειδικό τέλος για άδειες λειτουργίας καζίνο",1.000.000,,
1140106,"Τέλη χορήγησης αδειών από τις λιμενικές αρχές",2.000.000,,
1140106001,"Τέλη χορήγησης αδειών από τις λιμενικές αρχές",2.000.000,,
1140189,"Λοιπές Επιχειρηματικές και επαγγελματικές άδειες",15.000.000,,
1140189001,"Λοιπές Επιχειρηματικές και επαγγελματικές άδειες",15.000.000,,
11409,"Διάφοροι άλλοι φόροι επί παραγωγής",437.000.000,,
1140902,"Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)",13.000.000,,
1140902001,"Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)",13.000.000,,
1140903,"Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων",3.000.000,,
1140903001,"Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων",3.000.000,,
1140904,"Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.",1.000.000,,
1140904001,"Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.",1.000.000,,
1140907,"Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.",1.000.000,,
1140907001,"Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.",1.000.000,,
1140910,"Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών",21.000.000,,
1140910001,"Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών",21.000.000,,
1140911,"Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της Ελλάδος",383.000.000,,
1140911001,"Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της Ελλάδος",383.000.000,,
1140912,"Αμοιβή χορήγησης δικαιωμάτων και προνομίων στο Διεθνή Αερολιμένα Αθηνών",10.000.000,,
1140912001,"Αμοιβή χορήγησης δικαιωμάτων και προνομίων στο Διεθνή Αερολιμένα Αθηνών",10.000.000,,
1140989,"Λοιπoί φόροι επί της παραγωγής",5.000.000,,
1140989001,"Λοιπoί φόροι επί της παραγωγής",5.000.000,,
115,"Φόρος εισοδήματος",14.520.000.000,,
11501,"Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ)",9.834.000.000,,
1150101,"Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων",2.088.000.000,,
1150101001,"Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων",2.088.000.000,,
1150102,"Φόρος στο εισόδημα ΦΠ - προκαταβολή",240.000.000,,
1150102001,"Φόρος στο εισόδημα ΦΠ - προκαταβολή",240.000.000,,
1150103,"Φόρος στο εισόδημα από μισθούς - παρακράτηση",4.179.000.000,,
1150103001,"Φόρος στο εισόδημα από μισθούς - παρακράτηση",4.179.000.000,,
1150104,"Φόρος στο εισόδημα από συντάξεις - παρακράτηση",1.872.000.000,,
1150104001,"Φόρος στο εισόδημα από συντάξεις - παρακράτηση",1.872.000.000,,
1150105,"Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση",789.000.000,,
1150105001,"Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση",789.000.000,,
1150106,"Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας",262.000.000,,
1150106001,"Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας",262.000.000,,
1150107,"Ειδική εισφορά αλληλεγγύης στα ΦΠ",401.000.000,,
1150107001,"Ειδική εισφορά αλληλεγγύης στα ΦΠ",401.000.000,,
1150110,"Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει στην αλλοδαπή ΦΠ που μεταφέρουν τη φορολογική τους κατοικία στην Ελλάδα",2.000.000,,
1150110001,"Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει στην αλλοδαπή ΦΠ που μεταφέρουν τη φορολογική τους κατοικία στην Ελλάδα για επενδυτική δραστηριότητα",2.000.000,,
1150189,"Λοιποί φόροι στο εισόδημα ΦΠ",1.000.000,,
1150189001,"Λοιποί φόροι στο εισόδημα ΦΠ",1.000.000,,
11502,"Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ)",3.533.000.000,,
1150201,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",1.141.000.000,,
1150201001,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",1.141.000.000,,
1150202,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή",1.570.000.000,,
1150202001,"Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή",1.570.000.000,,
1150203,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων",226.000.000,,
1150203001,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων",226.000.000,,
1150204,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή",334.000.000,,
1150204001,"Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή",334.000.000,,
1150205,"Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών",252.000.000,,
1150205001,"Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών",252.000.000,,
1150206,"Εφάπαξ φόροι εισοδήματος ΝΠ",1.000.000,,
1150206001,"Εφάπαξ φόροι εισοδήματος ΝΠ",1.000.000,,
1150289,"Λοιποί φόροι στο εισόδημα εταιριών",9.000.000,,
1150289001,"Λοιποί φόροι στο εισόδημα εταιριών",9.000.000,,
11503,"Φόροι επί κερδών διακράτησης",44.000.000,,
1150302,"Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων",44.000.000,,
1150302001,"Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων",44.000.000,,
11504,"Φόροι επί κερδών από λαχεία και τυχερά παίγνια",101.000.000,,
1150489,"Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια",101.000.000,,
1150489001,"Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια",101.000.000,,
11505,"Φόρος εισοδήματος κατοίκων αλλοδαπής",54.000.000,,
1150501,"Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα",54.000.000,,
1150501001,"Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα",54.000.000,,
11506,"Φόρος εισοδήματος ειδικών κατηγοριών",954.000.000,,
1150601,"Φόρος πλοίων",163.000.000,,
1150601001,"Φόρος πλοίων",163.000.000,,
1150602,"Φόρος επί των τόκων των καταθέσεων  συμφωνιών επαναγοράς  ομολόγων κ.λπ.",351.000.000,,
1150602001,"Φόρος επί των τόκων των καταθέσεων  συμφωνιών επαναγοράς  ομολόγων κ.λπ.",351.000.000,,
1150604,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",14.000.000,,
1150604001,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων",14.000.000,,
1150605,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - προκαταβολή",14.000.000,,
1150605001,"Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - προκαταβολή",14.000.000,,
1150689,"Λοιποί φόροι εισοδήματος ειδικών κατηγοριών",412.000.000,,
1150689001,"Λοιποί φόροι εισοδήματος ειδικών κατηγοριών",412.000.000,,
116,"Φόροι κεφαλαίου",166.000.000,,
11601,"Φόροι κληρονομιών  γονικών παροχών και δωρεών",166.000.000,,
1160101,"Φόροι και τέλη κληρονομιών",143.000.000,,
1160101001,"Φόροι και τέλη κληρονομιών",143.000.000,,
1160102,"Φόροι και τέλη δωρεών  γονικών και λοιπών παροχών",23.000.000,,
