Κωδικός,Κατηγορία,Ποσό
1150105,Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) - παρακράτηση,1451000000
1150106,Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της ανεργίας,299000000
1150110,Φόρος από εναλλακτική φορολόγηση εισοδήματος που προκύπτει στην αλλοδαπή ΦΠ που μεταφέρουν τη φορολογική τους κατοικία στην Ελλάδα,22000000
1150189,Λοιποί φόροι στο εισόδημα ΦΠ,1000000
1150201,Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων,1666000000
1150202,Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα - προκαταβολή,3542000000
1150203,Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - εκκαθάριση δηλώσεων,677000000
1150204,Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών οντοτήτων - προκαταβολή,789000000
1150205,Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών,456000000
1150289,Λοιποί φόροι στο εισόδημα εταιριών,9000000
1150302,Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών στοιχείων,22000000
1150489,Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια,456000000
1150501,Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα δικαιώματα,90000000
1150502,Φόρος εισοδήματος αλλοδαπής από τόκους,1000000
1150601,Φόρος πλοίων,271000000
1150602,Φόρος επί των τόκων των καταθέσεων, συμφωνιών επαναγοράς, ομολόγων κ.λπ.,641000000
1150604,Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - εκκαθάριση δηλώσεων,43000000
1150605,Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού χαρακτήρα - προκαταβολή,79000000
1150689,Λοιποί φόροι εισοδήματος ειδικών κατηγοριών,713000000
1160101,Φόροι και τέλη κληρονομιών,186000000
1160102,Φόροι και τέλη δωρεών, γονικών και λοιπών παροχών,60000000
1190101,Τέλη κυκλοφορίας,1241000000
1190189,Λοιπά τέλη και εισφορές στα οχήματα,6000000
1190201,Φόρος πολυτελούς διαβίωσης,42000000
1190301,Έσοδα από ιατρικές εξετάσεις οδηγών,79000000
1190901,Λοιπά μη ταξινομημένα φορολογικά έσοδα,30000000
1220102,Εισφορές εργαζομένων για παροχές υγείας από το Δημόσιο,60000000
1310801,Μέρισμα ΕΕΤΤ,22000000
1310803,Έσοδα από πλειστηριασμούς αδιάθετων δικαιωμάτων εκπομπών αερίων θερμοκηπίου,195000000
1310889,Λοιπές μεταβιβάσεις από νομικά πρόσωπα,62000000
1320189,Λοιπές τρέχουσες μεταβιβάσεις από τα κοινοτικά ταμεία,15000000
1330102,Εισφορές Ν.Α.Τ.Ο. για δαπάνες λειτουργίας και συντήρησης σταθμού FΟRΑCS Κρήτης,2000000
1330189,Λοιπές τρέχουσες μεταβιβάσεις από Διεθνείς Οργανισμούς,1000000
1330901,Μεταβιβάσεις από ξένες χώρες,7000000
1340901,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,30000000
1350101,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,1614000000
1350103,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής Ανάπτυξης,585000000
1350104,Απολήψεις από το Ταμείο Συνοχής,565000000
1350106,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,977000000
1350107,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας (ΕΤΘΑ),65000000
1350108,Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και Ένταξης και Εσωτερικής Ασφάλειας,355000000
1350109,Απολήψεις από το Ταμείο Ανάκαμψης και Ανθεκτικότητας,6175000000
1350189,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων προγραμμάτων,184000000
1390101,Έσοδα από επιστροφές καταπτώσεων εγγυήσεων,60000000
1390189,Λοιπά έσοδα από καταπτώσεις εγγυήσεων,6000000
1390902,Έσοδα από την περιέλευση αδρανών καταθέσεων στο Ελληνικό Δημόσιο,23000000
1410189,Λοιπές Πωλήσεις Αγαθών,3000000
1420107,Έσοδα από παροχή υπηρεσιών υγείας των Στρατιωτικών Νοσοκομείων σε ασφαλισμένους του ΕΟΠΥΥ και λοιπών ΦΚΑ,25000000
1420301,Δικαστικά έξοδα επιβαλλόμενα από τα ποινικά δικαστήρια,6000000
1420302,Αντίτιμο δικαστικού ενσήμου σε αγωγές και προσωρινά μέτρα,34000000
1420389,Λοιπά έσοδα από παροχή δικαστικών υπηρεσιών,1000000
1420401,Έσοδα από την παροχή τελωνειακών υπηρεσιών,130000000
1420402,Έσοδα από τη διενέργεια γεωτεχνικών ελέγχων,3000000
1420403,Έσοδα από τη διενέργεια χημικών ελέγχων,1000000
1420489,Λοιπά έσοδα από υπηρεσίες ελέγχου,3000000
1420601,Τέλη και λοιπά έσοδα έμμισθων προξενείων,72000000
1420989,Έσοδα από προσφορά λοιπών υπηρεσιών,31000000
1430189,Λοιπά μισθώματα κτιρίων και υποδομών,115000000
1430989,Έσοδα από λοιπά μισθώματα,2000000
1440101,Προμήθειες είσπραξης ιδίων πόρων για λογαριασμό της Ε.Ε.,107000000
1440103,Προμήθειες για βεβαίωση και είσπραξη εσόδων τρίτων,32000000
1440201,Προμήθειες λόγω παροχής της εγγύησης του Ελληνικού Δημοσίου,410000000
1440202,Προμήθειες λόγω παροχής της Εγγύησης του Ελληνικού Δημοσίου στην ΕΤΕπ για επενδυτικά προγράμματα,9000000
1440305,Προμήθειες εγγυημένης αναβαλλόμενης φορολογικής απαίτησης,20000000
1450101,Παράβολα για τη χορήγηση και ανανέωση αδειών διαμονής αλλοδαπών,47000000
1450102,Παράβολα πολιτογράφησης,3000000
1450103,Παράβολα αιτήσεων ρύθμισης αυθαιρέτων κατασκευών ή αλλαγών χρήσης ακινήτων,37000000
1450189,Λοιπά παράβολα,108000000
1490901,Έσοδα από εκποίηση κατασχεμένων τροχοφόρων,1000000
1490989,Έσοδα από λοιπές πωλήσεις διάφορες,1000000
1510103,Τόκοι καταθέσεων στην Τράπεζα της Ελλάδος,160000000
1510188,Τόκοι καταθέσεων σε λοιπές τράπεζες εσωτερικού,31000000
1510189,Τόκοι καταθέσεων σε λοιπές τράπεζες εξωτερικού,35000000
1510301,Τόκοι από ομόλογα του Ελληνικού Δημοσίου,62000000
1510508,Τόκοι μακροπρόθεσμων δανείων από τη διαχείριση των πόρων του Ταμείου Ανάκαμψης και Ανθεκτικότητας,75000000
1520101,Διανεμόμενο εισόδημα μετοχών εισηγμένων στο Χρηματιστήριο Αθηνών,85000000
1520201,Διανεμόμενο εισόδημα μετοχών μη εισηγμένων σε χρηματιστήριο,88000000
1520301,Διανεμόμενο εισόδημα συμμετοχών υπό εκκαθάριση ή καταργούμενων,8000000
1520389,Διανεμόμενο εισόδημα λοιπών συμμετοχών,105000000
1530101,Ενοίκια από δικαιώματα μεταλλειοκτησίας,3000000
1530289,Λοιπά μισθώματα γης,48000000
1530902,Άδειες χρήσης ραδιοσυχνοτήτων επίγειας ψηφιακής ευρυεκπομπής,8000000
1560101,Προσαυξήσεις, πρόστιμα και χρηματικές ποινές σε φορολογικά έσοδα,870000000
1560201,Πρόστιμα τελωνειακών παραβάσεων και λαθρεμπορίας,18000000
1560202,Προσαυξήσεις εκπρόθεσμης καταβολής,7000000
1560204,Ποινές ανακριβούς δήλωσης,2000000
1560401,Καταλογισμοί για προγράμματα του Κοινωνικού Ταμείου,2000000
1560403,Καταλογισμοί για προγράμματα του Ταμείου Περιφερειακής Ανάπτυξης και του Ταμείου Συνοχής,6000000
1560901,Πρόστιμα για αυθαίρετα κτίσματα,3000000
1560902,Πρόστιμα από ελλιπείς θέσεις στάθμευσης σε κτίρια,5000000
1560903,Πρόστιμα Πράσινου Ταμείου,5000000
1560904,Πρόστιμα Γαλάζιου Ταμείου,1000000
1560905,Πρόστιμα και χρηματικές ποινές επιβαλλόμενες από τα ποινικά δικαστήρια,17000000
1560906,Πρόστιμα για παραβάσεις εργατικής νομοθεσίας,1000000
1560908,Πρόστιμα για λιμενικές παραβάσεις,6000000
1560909,Πρόστιμα για την προστασία των καταναλωτών,4000000
1560911,Προσαυξήσεις εκπρόθεσμης καταβολής μη φορολογικών εσόδων,43000000
1560916,Έσοδα από την επιβολή δημοσιονομικών διορθώσεων,3000000
1560921,Καταπτώσεις εγγυητικών επιστολών,4000000
1560988,Λοιπά μη ταξινομημένα μη φορολογικά έσοδα,43000000
1560989,Λοιπά πρόστιμα και χρηματικές ποινές,82000000
1590189,Λοιπές επιστροφές αποδοχών,38000000
1590301,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων επενδύσεων,145000000
1590302,Επιστροφές ποσών από φυσικά πρόσωπα για εκτέλεση έργων επενδύσεων,4000000
1590304,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων Περιφέρειας Δυτικής Μακεδονίας,11000000
1590305,Επιστροφές μεταβιβάσεων με τη μορφή της επιστρεπτέας προκαταβολής,219000000
1590309,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,5000000
1590788,Επιστροφές χρημάτων για τακτοποίηση Χ.Ε.Π.,20000000
1590789,Λοιπές επιστροφές ποσών,126000000
3110389,Λοιπά Κτίρια,46000000
3150101,Κτήματα,5000000
4320201,Ομόλογα Δημοσίων Επιχειρήσεων,11000000
4410202,Βραχυπρόθεσμα δάνεια προς πιστωτικά ιδρύματα,5340000000
4420902,Μακροπρόθεσμα Δάνεια από τη διαχείριση των πόρων του Ταμείου Ανάκαμψης και Ανθεκτικότητας,185000000
4510901,Μετοχές λοιπών επιχειρήσεων εισηγμένων στο Χρηματιστήριο Αθηνών Α.Ε.,92000000
4520901,Λοιπές μη εισηγμένες μετοχές εσωτερικού,136000000
5210101,Μεταλλικά κέρματα σε κυκλοφορία,63000000
5310101,Έντοκα γραμμάτια του Ελληνικού Δημοσίου,15875000000
5320101,Ομόλογα Ελληνικού Δημοσίου στην αγορά εσωτερικού,8000000000
5410102,Τίτλοι με σύμφωνο επαναγοράς,1650000000000
5420205,Δάνεια Ταμείου Ανάκαμψης και Ανθεκτικότητας,4326000000
5420208,Δάνεια από το πρόγραμμα SAFE,400000000
5710102,Τόκοι συμφωνιών ανταλλαγής,959000000
